Entity,Code,Year,lifeExpec
Lebanon,LBN,2018,78.875
Lesotho,LSO,2018,53.705
Liberia,LBR,2018,63.73
Libya,LBY,2018,72.724
Liechtenstein,LIE,2018,82.351
Lithuania,LTU,2018,75.737
Luxembourg,LUX,2018,82.102
Macao,MAC,2018,84.118
Madagascar,MDG,2018,66.681
Malawi,MWI,2018,63.798
Malaysia,MYS,2018,75.997
Maldives,MDV,2018,78.627
Mali,MLI,2018,58.893
Malta,MLT,2018,82.376
Marshall Islands,MHL,2018,73.496
Martinique,MTQ,2018,82.359
Mauritania,MRT,2018,64.704
Mauritius,MUS,2018,74.863
Mayotte,MYT,2018,79.417
Mexico,MEX,2018,74.992
Micronesia (country),FSM,2018,67.755
Moldova,MDA,2018,71.808
Monaco,MCO,2018,86.56
Mongolia,MNG,2018,69.689
Montenegro,MNE,2018,76.77
Montserrat,MSR,2018,74.388
Morocco,MAR,2018,76.453
Mozambique,MOZ,2018,60.163
Myanmar,MMR,2018,66.867
Namibia,NAM,2018,63.373
Nauru,NRU,2018,59.863
Nepal,NPL,2018,70.478
Netherlands,NLD,2018,82.143
New Caledonia,NCL,2018,77.374
New Zealand,NZL,2018,82.145
Nicaragua,NIC,2018,74.275
Niger,NER,2018,62.024
Nigeria,NGA,2018,54.332
Niue,NIU,2018,73.567
North Korea,PRK,2018,72.095
North Macedonia,MKD,2018,75.688
Northern America,,2018,79.199
Northern Mariana Islands,MNP,2018,76.44
Norway,NOR,2018,82.271
Oceania,,2018,78.529
Oman,OMN,2018,77.633
Pakistan,PAK,2018,67.114
Palau,PLW,2018,73.524
Palestine,PSE,2018,73.895
Panama,PAN,2018,78.329
Papua New Guinea,PNG,2018,64.263
Paraguay,PRY,2018,74.131
Peru,PER,2018,76.516
Philippines,PHL,2018,71.095
Poland,POL,2018,78.544
Portugal,PRT,2018,81.857
Puerto Rico,PRI,2018,79.952
Qatar,QAT,2018,80.1
Reunion,REU,2018,80.247
Romania,ROU,2018,75.924
Russia,RUS,2018,72.386
Rwanda,RWA,2018,68.7
Saint Barthlemy,,2018,81.82
Saint Helena,SHN,2018,80.422
Saint Kitts and Nevis,KNA,2018,76.075
Saint Lucia,LCA,2018,76.057
Saint Martin (French part),MAF,2018,81.86
Saint Pierre and Miquelon,SPM,2018,80.921
Saint Vincent and the Grenadines,VCT,2018,72.415
Samoa,WSM,2018,73.187
San Marino,SMR,2018,84.841
Sao Tome and Principe,STP,2018,70.17
Saudi Arabia,SAU,2018,74.998
Senegal,SEN,2018,67.665
Serbia,SRB,2018,75.849
Seychelles,SYC,2018,73.333
Sierra Leone,SLE,2018,54.309
Singapore,SGP,2018,83.458
Sint Maarten (Dutch part),SXM,2018,78.794
Slovakia,SVK,2018,77.388
Slovenia,SVN,2018,81.172
Solomon Islands,SLB,2018,72.835
Somalia,SOM,2018,57.068
South Africa,ZAF,2018,63.857
South Korea,KOR,2018,82.846
South Sudan,SSD,2018,57.604
Spain,ESP,2018,83.433
Sri Lanka,LKA,2018,76.812
Sudan,SDN,2018,65.095
Suriname,SUR,2018,71.57
Sweden,SWE,2018,82.654
Switzerland,CHE,2018,83.63
Syria,SYR,2018,71.779
Taiwan,TWN,2018,80.283
Tajikistan,TJK,2018,70.879
Tanzania,TZA,2018,65.015
Thailand,THA,2018,76.931
Timor,TLS,2018,69.26
Togo,TGO,2018,60.76
Tokelau,TKL,2018,81.67
Tonga,TON,2018,70.801
Trinidad and Tobago,TTO,2018,73.38
Tunisia,TUN,2018,76.505
Turkey,TUR,2018,77.437
Turkmenistan,TKM,2018,68.073
Turks and Caicos Islands,TCA,2018,80.048
Tuvalu,TUV,2018,67.348
Uganda,UGA,2018,62.973
Ukraine,UKR,2018,71.953
United Arab Emirates,ARE,2018,77.814
United Kingdom,GBR,2018,81.236
United States,USA,2018,78.851
United States Virgin Islands,VIR,2018,80.421
Uruguay,URY,2018,77.77
Uzbekistan,UZB,2018,71.573
Vanuatu,VUT,2018,70.323
Vatican,VAT,2018,74.94
Venezuela,VEN,2018,72.128
Vietnam,VNM,2018,75.317
Wallis and Futuna,WLF,2018,79.767
Western Sahara,ESH,2018,70.017
World,OWID_WRL,2018,72.386
Yemen,YEM,2018,66.096
Zambia,ZMB,2018,63.51
Zimbabwe,ZWE,2018,61.195
